#: table_doi: 10.17182/hepdata.159952.v1/t13
#: name: Figure 9
#: description: Centrality dependence of $N_{\rm part}\Delta\gamma^{112}$ (red squares) and $N_{\rm part}\Delta\gamma^{112}_{\rm ESS}$ (blue circles) in Au+Au collisions at $\sqrt{s_{NN}}$ = 7.7--200 GeV. The error bars, shaded boxes, and brackets represent statistical uncertainties, measurement systematics, and uncertainties associated with $N_{\rm part}$, respectively. For comparison, $N_{\rm part}\Delta H^{112}(\kappa_{\rm{bg}}=2.5)$ is also shown with gray band denotes the statistic uncertainties. The horizontal dashed lines denote constant fits to $N_{\rm part}\Delta\gamma^{112}_{\rm ESS}$ over the 20\%--50\% centrality region. 
#: data_file: Figure9.yaml
#: keyword reactions: Au+Au
#: keyword cmenergies: 7.7-200
#: Detector,,,STAR
#: Collision species,,,Au+Au
#: $\sqrt{s_{\rm NN}}$,,,7.7
$\rm Centrality$ [$\%$],$\rm Centrality$ [$\%$] LOW,$\rm Centrality$ [$\%$] HIGH,$N_{part}\Delta\gamma^{112}$ [ ],stat +,stat -,sys +,sys -,Npart +,Npart -
$\rm Centrality$ [$\%$],$\rm Centrality$ [$\%$] LOW,$\rm Centrality$ [$\%$] HIGH,$N_{part}\Delta\gamma^{112}_{ESS}$ [ ],stat +,stat -,sys +,sys -,Npart +,Npart -
75.0,70.0,80.0,0.016,0.014,-0.014,0.014,-0.014,0.006,-0.006
65.0,60.0,70.0,-0.0041,0.0068,-0.0068,0.0081,-0.0081,0.0011,-0.0011
55.0,50.0,60.0,0.008,0.0035,-0.0035,0.0005,-0.0005,0.0016,-0.0016
45.0,40.0,50.0,0.00644,0.00245,-0.00245,3e-05,-3e-05,0.00088,-0.00088
35.0,30.0,40.0,0.0046,0.002,-0.002,0.0005,-0.0005,0.0004,-0.0004
25.0,20.0,30.0,0.00213,0.00196,-0.00196,0.00036,-0.00036,0.00013,-0.00013
15.0,10.0,20.0,0.00103,0.00256,-0.00256,0.00069,-0.00069,4e-05,-4e-05
7.5,5.0,10.0,-0.00737,0.00705,-0.00705,0.0058,-0.0058,0.00015,-0.00015
2.5,0.0,5.0,-0.00484,0.0228,-0.0228,0.02461,-0.02461,3e-05,-3e-05

#: Detector,,,STAR
#: Collision species,,,Au+Au
#: $\sqrt{s_{\rm NN}}$,,,19.6
$\rm Centrality$ [$\%$],$\rm Centrality$ [$\%$] LOW,$\rm Centrality$ [$\%$] HIGH,$N_{part}\Delta H^{112}$ [ ],stat +,stat -,sys +,sys -,Npart +,Npart -
75.0,70.0,80.0,0.017,0.007,-0.007,0.002,-0.002,0.006,-0.006
65.0,60.0,70.0,0.007,0.0036,-0.0036,0.002,-0.002,0.0019,-0.0019
55.0,50.0,60.0,0.0091,0.0019,-0.0019,0.0003,-0.0003,0.0018,-0.0018
45.0,40.0,50.0,0.0068,0.0013,-0.0013,0.0002,-0.0002,0.0009,-0.0009
35.0,30.0,40.0,0.0033,0.001,-0.001,0.0004,-0.0004,0.0003,-0.0003
25.0,20.0,30.0,0.0013,0.00098,-0.00098,0.00025,-0.00025,8e-05,-8e-05
15.0,10.0,20.0,-0.00094,0.0013,-0.0013,0.00061,-0.00061,4e-05,-4e-05
7.5,5.0,10.0,-0.00496,0.00372,-0.00372,0.00037,-0.00037,0.0001,-0.0001
2.5,0.0,5.0,0.00456,0.01252,-0.01252,0.00175,-0.00175,3e-05,-3e-05

#: Detector,,,STAR
#: Collision species,,,Au+Au
#: $\sqrt{s_{\rm NN}}$,,,27
$\rm Centrality$ [$\%$],$\rm Centrality$ [$\%$] LOW,$\rm Centrality$ [$\%$] HIGH,$N_{part}\Delta\gamma^{112}$ [ ],stat +,stat -,sys +,sys -,Npart +,Npart -
75.0,70.0,80.0,0.008,0.014,-0.014,0.003,-0.003,0.003,-0.003
65.0,60.0,70.0,0.0176,0.006,-0.006,0.0012,-0.0012,0.0048,-0.0048
55.0,50.0,60.0,0.0143,0.0032,-0.0032,0.0003,-0.0003,0.0028,-0.0028
45.0,40.0,50.0,0.0261,0.0021,-0.0021,0.0003,-0.0003,0.0036,-0.0036
35.0,30.0,40.0,0.0282,0.0016,-0.0016,0.0006,-0.0006,0.0028,-0.0028
25.0,20.0,30.0,0.0253,0.0016,-0.0016,0.0006,-0.0006,0.0016,-0.0016
15.0,10.0,20.0,0.0208,0.002,-0.002,0.0003,-0.0003,0.0008,-0.0008
7.5,5.0,10.0,0.0182,0.0057,-0.0057,0.0007,-0.0007,0.0004,-0.0004
2.5,0.0,5.0,0.02446,0.017,-0.017,0.00889,-0.00889,0.00014,-0.00014

#: Detector,,,STAR
#: Collision species,,,Au+Au
#: $\sqrt{s_{\rm NN}}$,,,27
$\rm Centrality$ [$\%$],$\rm Centrality$ [$\%$] LOW,$\rm Centrality$ [$\%$] HIGH,$N_{part}\Delta\gamma^{112}_{ESS}$ [ ],stat +,stat -,sys +,sys -,Npart +,Npart -
75.0,70.0,80.0,0.0006,0.0293,-0.0293,0.0443,-0.0443,0.0002,-0.0002
65.0,60.0,70.0,0.015,0.011,-0.011,0.004,-0.004,0.004,-0.004
55.0,50.0,60.0,-4.9e-05,0.005459,-0.005459,0.000399,-0.000399,1e-05,-1e-05
45.0,40.0,50.0,0.0013,0.00358,-0.00358,0.00081,-0.00081,0.00018,-0.00018
35.0,30.0,40.0,0.0042,0.0028,-0.0028,0.0014,-0.0014,0.0004,-0.0004
25.0,20.0,30.0,0.00086,0.00278,-0.00278,0.00053,-0.00053,5e-05,-5e-05
15.0,10.0,20.0,-0.00216,0.0036,-0.0036,0.00167,-0.00167,8e-05,-8e-05
