#: table_doi: 10.17182/hepdata.159952.v1/t10
#: name: Figure 6
#: description: Centrality dependence of $\gamma^{112}_{\rm OS}$ (red circles) and $\gamma^{112}_{\rm SS}$ (blue squares) in Au+Au collisions at $\sqrt{s_{NN}}$ = 7.7--200 GeV.The solid error bars and the shaded boxes represent the statistical and systematic uncertainties, respectively. 
#: data_file: Figure6.yaml
#: keyword reactions: Au+Au
#: keyword cmenergies: 7.7-200
#: Detector,,,STAR
#: Collision species,,,Au+Au
#: $\sqrt{s_{\rm NN}}$,,,7.7
$\rm Centrality$ [$\%$],$\rm Centrality$ [$\%$] LOW,$\rm Centrality$ [$\%$] HIGH,$\gamma^{112}_{SS}$ [ ],stat +,stat -,sys +,sys -
#: Collision species,,,Au+Au
#: $\sqrt{s_{\rm NN}}$,,,27
$\rm Centrality$ [$\%$],$\rm Centrality$ [$\%$] LOW,$\rm Centrality$ [$\%$] HIGH,$\gamma^{112}_{OS}$ [ ],stat +,stat -,sys +,sys -
75.0,70.0,80.0,-0.00022,0.00069,-0.00069,0.00012,-0.00012
65.0,60.0,70.0,-0.00012,0.00016,-0.00016,3e-05,-3e-05
55.0,50.0,60.0,-8e-05,5e-05,-5e-05,3e-05,-3e-05
45.0,40.0,50.0,6e-05,2e-05,-2e-05,1.1e-05,-1.1e-05
35.0,30.0,40.0,6.2e-05,1e-05,-1e-05,1.8e-05,-1.8e-05
25.0,20.0,30.0,3.9e-05,7e-06,-7e-06,1.7e-05,-1.7e-05
15.0,10.0,20.0,2.3e-05,6e-06,-6e-06,1.1e-05,-1.1e-05
7.5,5.0,10.0,1.4e-05,1.4e-05,-1.4e-05,9e-06,-9e-06
2.5,0.0,5.0,1.6e-05,3.5e-05,-3.5e-05,9e-06,-9e-06

#: Detector,,,STAR
#: Collision species,,,Au+Au
#: $\sqrt{s_{\rm NN}}$,,,200
$\rm Centrality$ [$\%$],$\rm Centrality$ [$\%$] LOW,$\rm Centrality$ [$\%$] HIGH,$\gamma^{112}_{SS}$ [ ],stat +,stat -,sys +,sys -
75.0,70.0,80.0,-0.00047,0.00015,-0.00015,4e-05,-4e-05
65.0,60.0,70.0,-0.00051,4e-05,-4e-05,6e-05,-6e-05
55.0,50.0,60.0,-0.000385,1.8e-05,-1.8e-05,1.1e-05,-1.1e-05
45.0,40.0,50.0,-0.000271,9e-06,-9e-06,3e-06,-3e-06
35.0,30.0,40.0,-0.000184,6e-06,-6e-06,3e-06,-3e-06
25.0,20.0,30.0,-0.000115,4e-06,-4e-06,3e-06,-3e-06
15.0,10.0,20.0,-6.1e-05,4e-06,-4e-06,5e-06,-5e-06
7.5,5.0,10.0,-4.1e-05,9e-06,-9e-06,0,0
2.5,0.0,5.0,-2e-06,2e-05,-2e-05,2.7e-05,-2.7e-05

#: Detector,,,STAR
#: Collision species,,,Au+Au
#: $\sqrt{s_{\rm NN}}$,,,200
$\rm Centrality$ [$\%$],$\rm Centrality$ [$\%$] LOW,$\rm Centrality$ [$\%$] HIGH,$\gamma^{112}_{OS}$ [ ],stat +,stat -,sys +,sys -
75.0,70.0,80.0,-0.00012,0.00015,-0.00015,0.00016,-0.00016
65.0,60.0,70.0,-7e-06,4.5e-05,-4.5e-05,1.4e-05,-1.4e-05
55.0,50.0,60.0,1.2e-05,1.8e-05,-1.8e-05,4e-06,-4e-06
45.0,40.0,50.0,-3e-06,9e-06,-9e-06,3e-06,-3e-06
35.0,30.0,40.0,2e-06,6e-06,-6e-06,2e-06,-2e-06
25.0,20.0,30.0,-3e-06,4e-06,-4e-06,5e-06,-5e-06
15.0,10.0,20.0,-5e-06,4e-06,-4e-06,5e-06,-5e-06
7.5,5.0,10.0,-6e-06,9e-06,-9e-06,6e-06,-6e-06
2.5,0.0,5.0,2e-06,2e-05,-2e-05,6e-06,-6e-06

