#: table_doi: 10.17182/hepdata.159952.v1/t12
#: name: Figure 8
#: description: Same as Fig.6, but for $\delta_{\rm OS}$ (red circles) and $\delta_{\rm SS}$ (blue squares) 
#: data_file: Figure8.yaml
#: keyword reactions: Au+Au
#: keyword cmenergies: 7.7-200
#: Detector,,,STAR
#: Collision species,,,Au+Au
#: $\sqrt{s_{\rm NN}}$,,,7.7
$\rm Centrality$ [$\%$],$\rm Centrality$ [$\%$] LOW,$\rm Centrality$ [$\%$] HIGH,$\delta_{SS}$ [ ],stat +,stat -,sys +,sys -
45.0,40.0,50.0,-0.0002541,8e-07,-8e-07,7.1e-06,-7.1e-06
35.0,30.0,40.0,-0.0002653,5e-07,-5e-07,9.7e-06,-9.7e-06
25.0,20.0,30.0,-0.0002283,3e-07,-3e-07,1.56e-05,-1.56e-05
15.0,10.0,20.0,-0.0001646,2e-07,-2e-07,3.05e-05,-3.05e-05
7.5,5.0,10.0,-0.0001219,3e-07,-3e-07,4.93e-05,-4.93e-05
2.5,0.0,5.0,-9.04e-05,2e-07,-2e-07,6.52e-05,-6.52e-05

#: Detector,,,STAR
#: Collision species,,,Au+Au
#: $\sqrt{s_{\rm NN}}$,,,200
$\rm Centrality$ [$\%$],$\rm Centrality$ [$\%$] LOW,$\rm Centrality$ [$\%$] HIGH,$\delta_{OS}$ [ ],stat +,stat -,sys +,sys -
75.0,70.0,80.0,0.003334,6e-06,-6e-06,3.5e-05,-3.5e-05
65.0,60.0,70.0,0.003034,3e-06,-3e-06,5.8e-05,-5.8e-05
55.0,50.0,60.0,0.002213,1.3e-06,-1.3e-06,4.38e-05,-4.38e-05
45.0,40.0,50.0,0.0015379,8e-07,-8e-07,2.86e-05,-2.86e-05
35.0,30.0,40.0,0.001065,5e-07,-5e-07,2.15e-05,-2.15e-05
25.0,20.0,30.0,0.0007462,3e-07,-3e-07,1.84e-05,-1.84e-05
15.0,10.0,20.0,0.0005421,2e-07,-2e-07,2.39e-05,-2.39e-05
7.5,5.0,10.0,0.0004478,3e-07,-3e-07,3.49e-05,-3.49e-05
2.5,0.0,5.0,0.0003871,2e-07,-2e-07,4.39e-05,-4.39e-05

